X_Value,Y_Value,Z_Value, Z_Predict
0.2558,2.4178,127.7468,122.60217
0.2540,2.4480,115.2782,122.38639
0.2536,2.4497,131.7995,122.01385
0.2515,2.4330,105.3867,118.43714
0.2499,2.3864,102.9339,113.77131
0.2478,2.4479,127.8750,115.22293
0.2447,2.4090,103.3530,109.61062
0.2441,2.3914,117.2733,108.00295
0.2437,2.3485,97.42460,105.2691
0.2416,2.4087,100.0734,106.53561
0.2397,2.3088,104.0823,99.565755
0.2387,2.4053,99.53190,103.63367
0.2385,2.3196,100.2544,99.037572
0.2380,2.3012,99.71770,97.725677
0.2357,2.3878,96.56120,100.04704
0.2355,2.3032,98.57170,95.726642
0.2346,2.4863,102.1294,104.54152
0.2263,2.4833,97.28830,97.498406
0.2242,2.5254,96.75990,98.244133
0.2159,2.4739,93.27490,89.663688
